#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1022 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:61 out:59 type:P dur:2 cpbdur:2 q:20.89 aq:17.19 tex:17354 mv:522 misc:540 imb:14 pmb:98 smb:808 d:- ref:0 ;
in:59 out:60 type:B dur:2 cpbdur:2 q:21.49 aq:18.10 tex:4536 mv:192 misc:240 imb:0 pmb:28 smb:892 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:21.19 aq:21.89 tex:6122 mv:443 misc:379 imb:5 pmb:59 smb:856 d:- ref:0 ;
in:62 out:62 type:I dur:2 cpbdur:2 q:20.70 aq:11.59 tex:315235 mv:26486 misc:423 imb:920 pmb:0 smb:0 d:- ref:;
in:66 out:63 type:P dur:2 cpbdur:2 q:21.98 aq:13.06 tex:39664 mv:3515 misc:909 imb:67 pmb:439 smb:414 d:- ref:0 ;
in:64 out:64 type:B dur:2 cpbdur:2 q:21.98 aq:13.82 tex:6947 mv:1590 misc:799 imb:3 pmb:267 smb:650 d:- ref:0 ;
in:63 out:65 type:b dur:2 cpbdur:2 q:21.98 aq:14.48 tex:3795 mv:1518 misc:767 imb:1 pmb:224 smb:695 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:21.98 aq:15.41 tex:4435 mv:674 misc:515 imb:0 pmb:106 smb:814 d:- ref:0 ;
in:68 out:67 type:P dur:2 cpbdur:2 q:21.33 aq:13.79 tex:23411 mv:1903 misc:774 imb:15 pmb:269 smb:636 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:21.65 aq:17.41 tex:5051 mv:643 misc:394 imb:0 pmb:79 smb:841 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:20.97 aq:13.57 tex:83278 mv:3163 misc:807 imb:142 pmb:558 smb:220 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:21.15 aq:15.01 tex:7728 mv:1082 misc:750 imb:0 pmb:207 smb:713 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:21.24 aq:15.93 tex:3899 mv:325 misc:344 imb:0 pmb:53 smb:867 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:21.06 aq:15.44 tex:4439 mv:1128 misc:649 imb:1 pmb:163 smb:756 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:20.93 aq:12.05 tex:22838 mv:2501 misc:845 imb:27 pmb:325 smb:568 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:20.91 aq:12.79 tex:38364 mv:2042 misc:722 imb:25 pmb:273 smb:622 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:20.92 aq:14.06 tex:6611 mv:601 misc:620 imb:0 pmb:125 smb:795 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:20.92 aq:16.21 tex:3937 mv:546 misc:453 imb:0 pmb:80 smb:840 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:20.92 aq:16.03 tex:4836 mv:316 misc:264 imb:0 pmb:47 smb:873 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:20.41 aq:12.39 tex:35278 mv:1525 misc:741 imb:25 pmb:222 smb:673 d:- ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:20.66 aq:14.25 tex:5633 mv:422 misc:529 imb:1 pmb:92 smb:827 d:- ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:20.79 aq:14.86 tex:2413 mv:348 misc:335 imb:0 pmb:52 smb:868 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:20.53 aq:15.10 tex:4269 mv:350 misc:341 imb:0 pmb:54 smb:866 d:- ref:0 ;
in:83 out:82 type:P dur:2 cpbdur:2 q:20.14 aq:12.40 tex:18613 mv:623 misc:572 imb:10 pmb:106 smb:804 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:20.27 aq:14.65 tex:6309 mv:379 misc:280 imb:0 pmb:42 smb:878 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:19.88 aq:13.27 tex:52393 mv:2094 misc:785 imb:48 pmb:343 smb:529 d:- ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:20.01 aq:13.75 tex:10071 mv:1553 misc:752 imb:5 pmb:233 smb:682 d:- ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:20.07 aq:15.93 tex:8763 mv:2179 misc:626 imb:63 pmb:176 smb:681 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:19.94 aq:14.13 tex:6115 mv:875 misc:498 imb:1 pmb:112 smb:807 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:19.43 aq:14.73 tex:20732 mv:785 misc:523 imb:17 pmb:96 smb:807 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:19.65 aq:13.56 tex:7903 mv:424 misc:505 imb:0 pmb:101 smb:819 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:19.76 aq:13.83 tex:2816 mv:378 misc:342 imb:0 pmb:51 smb:869 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:19.54 aq:15.97 tex:6320 mv:364 misc:276 imb:0 pmb:43 smb:877 d:- ref:0 ;
in:92 out:92 type:I dur:2 cpbdur:2 q:18.21 aq:9.02 tex:497418 mv:30947 misc:403 imb:920 pmb:0 smb:0 d:- ref:;
in:96 out:93 type:P dur:2 cpbdur:2 q:20.85 aq:12.85 tex:77245 mv:1312 misc:883 imb:56 pmb:563 smb:301 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:20.85 aq:14.45 tex:7418 mv:930 misc:716 imb:4 pmb:179 smb:737 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:20.85 aq:15.58 tex:2452 mv:608 misc:492 imb:3 pmb:92 smb:825 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:20.85 aq:16.51 tex:3046 mv:410 misc:416 imb:0 pmb:76 smb:844 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:20.58 aq:13.44 tex:35996 mv:760 misc:796 imb:18 pmb:192 smb:710 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:20.71 aq:18.69 tex:4259 mv:246 misc:415 imb:2 pmb:63 smb:855 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:20.78 aq:20.88 tex:5770 mv:378 misc:252 imb:1 pmb:42 smb:877 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:20.65 aq:21.81 tex:3372 mv:195 misc:217 imb:0 pmb:28 smb:892 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:20.09 aq:13.21 tex:21607 mv:344 misc:673 imb:3 pmb:128 smb:789 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:20.00 aq:13.06 tex:15447 mv:377 misc:568 imb:4 pmb:99 smb:817 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:20.34 aq:14.06 tex:10377 mv:277 misc:426 imb:0 pmb:66 smb:854 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:20.50 aq:15.36 tex:28873 mv:546 misc:517 imb:8 pmb:98 smb:814 d:- ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:20.42 aq:17.63 tex:4737 mv:233 misc:278 imb:0 pmb:39 smb:881 d:- ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:20.38 aq:16.85 tex:2570 mv:159 misc:175 imb:0 pmb:22 smb:898 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:20.46 aq:21.95 tex:3132 mv:329 misc:171 imb:0 pmb:31 smb:889 d:- ref:0 ;
in:110 out:108 type:P dur:2 cpbdur:2 q:20.08 aq:13.87 tex:48347 mv:740 misc:937 imb:14 pmb:342 smb:564 d:- ref:0 ;
in:108 out:109 type:B dur:2 cpbdur:2 q:20.36 aq:15.31 tex:2735 mv:458 misc:503 imb:3 pmb:84 smb:833 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:20.22 aq:17.89 tex:1910 mv:257 misc:265 imb:1 pmb:31 smb:888 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:19.76 aq:14.03 tex:22353 mv:501 misc:522 imb:7 pmb:101 smb:812 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:19.92 aq:17.79 tex:6641 mv:369 misc:350 imb:0 pmb:57 smb:863 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:20.00 aq:21.17 tex:3604 mv:387 misc:209 imb:1 pmb:34 smb:885 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:19.84 aq:21.58 tex:1710 mv:212 misc:198 imb:0 pmb:22 smb:898 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:19.82 aq:16.74 tex:18076 mv:523 misc:401 imb:5 pmb:69 smb:846 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:19.79 aq:17.93 tex:6791 mv:283 misc:302 imb:0 pmb:46 smb:874 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:19.78 aq:21.32 tex:3651 mv:263 misc:190 imb:0 pmb:26 smb:894 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:19.80 aq:21.03 tex:5142 mv:282 misc:192 imb:0 pmb:31 smb:889 d:- ref:0 ;
in:121 out:119 type:P dur:2 cpbdur:2 q:19.32 aq:14.87 tex:16120 mv:687 misc:497 imb:11 pmb:101 smb:808 d:- ref:0 ;
in:119 out:120 type:B dur:2 cpbdur:2 q:19.65 aq:19.98 tex:4375 mv:167 misc:242 imb:0 pmb:28 smb:892 d:- ref:0 ;
